Testing for slug: neepho-np-61-microphone, model: NEEPHO-NP-61
Testing GET  /api/products/reviews-data/neepho-np-61-microphone/NEEPHO-NP-61 ... FAILED (405)
Testing POST /api/products/reviews-data/neepho-np-61-microphone/NEEPHO-NP-61 ... FAILED (500)
Testing GET  /api/products/reviews-data/neepho-np-61-microphone ... FAILED (404)
Testing POST /api/products/reviews-data/neepho-np-61-microphone ... FAILED (404)
Testing GET  /api/products/reviews/neepho-np-61-microphone/NEEPHO-NP-61 ... FAILED (404)
Testing POST /api/products/reviews/neepho-np-61-microphone/NEEPHO-NP-61 ... FAILED (404)
Testing GET  /api/products/reviews/neepho-np-61-microphone ... FAILED (404)
Testing POST /api/products/reviews/neepho-np-61-microphone ... FAILED (404)
Testing GET  /api/reviews-data/neepho-np-61-microphone/NEEPHO-NP-61 ... FAILED (404)
Testing POST /api/reviews-data/neepho-np-61-microphone/NEEPHO-NP-61 ... FAILED (404)
Testing GET  /api/reviews-data/neepho-np-61-microphone ... FAILED (404)
Testing POST /api/reviews-data/neepho-np-61-microphone ... FAILED (404)
Testing GET  /api/reviews/neepho-np-61-microphone/NEEPHO-NP-61 ... FAILED (404)
Testing POST /api/reviews/neepho-np-61-microphone/NEEPHO-NP-61 ... FAILED (404)
Testing GET  /api/reviews/neepho-np-61-microphone ... FAILED (404)
Testing POST /api/reviews/neepho-np-61-microphone ... FAILED (404)
Testing GET  /products/reviews-data/neepho-np-61-microphone/NEEPHO-NP-61 ... FAILED (500)
Testing POST /products/reviews-data/neepho-np-61-microphone/NEEPHO-NP-61 ... FAILED (405)
Testing GET  /products/reviews-data/neepho-np-61-microphone ... FAILED (404)
Testing POST /products/reviews-data/neepho-np-61-microphone ... FAILED (404)
